cluster,,userid,cluster,distance_from_cluster_center,reputation,views,upvotes,downVotes,age,post_count,comment_count,badges
4,175517,2656341,4,0.33736530096794004,4,2,0,0,27,1,2,null
4,186274,2147548,4,0.33736777106185845,1,5,0,0,27,1,2,null
4,173897,2698740,4,0.33736779831247776,1,4,0,0,27,1,2,null
4,144342,3157521,4,0.33736875818116807,1,3,0,0,27,1,2,null
4,150353,2761125,4,0.3373701257499264,16,0,0,0,27,1,1,null
1,178198,1680543,1,0.7362056226649045,31,2,0,0,44,4,0,null
1,169760,717938,1,0.7362701707575241,9,2,0,0,44,2,3,null
1,195881,2659954,1,0.7363108364193269,101,1,0,0,44,1,1,null
1,300852,717621,1,0.7363110101452137,1,0,0,0,44,2,5,null
1,244634,2502385,1,0.7365762677182495,24,1,0,0,44,1,1,null
3,54391,811865,3,2.0401252753436787,668,39,132,4,29,33,60,"WrappedArray(Editor, Scholar, Teacher, Supporter, Autobiographer, Critic, Commentator, Popular Question, Student, Popular Question, Yearling, Yearling)"
3,259370,265195,3,2.0470899169874017,800,54,83,0,30,28,44,"WrappedArray(Yearling, Popular Question, Popular Question, Tumbleweed, Popular Question, Popular Question, Scholar, Student, Supporter, Teacher, Editor, Commentator, Critic, Autobiographer, Notable Question, Yearling, Yearling, Notable Question, Popular Question)"
3,229213,89376,3,2.0516825471296407,331,79,95,2,29,14,59,"WrappedArray(Teacher, Student, Editor, Supporter, Autobiographer, Scholar, Commentator, Yearling, Popular Question, Critic, Notable Question, Popular Question, Popular Question)"
3,33438,195652,3,2.0582680772184823,789,206,183,5,29,14,90,"WrappedArray(Popular Question, Notable Question, Popular Question, Popular Question, Tumbleweed, Yearling, Autobiographer, Popular Question, Notable Question, Notable Question, Popular Question, Yearling, Notable Question, Popular Question, Notable Question, Popular Question, Scholar, Student, Supporter, Teacher, Editor, Commentator, Critic, Popular Question, Notable Question, Popular Question, Popular Question, Popular Question, Popular Question, Notable Question, Notable Question, Popular Question, Yearling, Popular Question, Popular Question)"
3,6432,244835,3,2.068375760554966,997,167,161,0,28,26,16,"WrappedArray(Commentator, Notable Question, Yearling, Editor, Student, Teacher, Supporter, Scholar, Critic, Autobiographer, Yearling, Popular Question, Yearling, Yearling)"
